Number of open states: 16142
Time taken for DBAStar pathfinding: 5896754
Time taken for AStar pathfinding: 13572934
Time taken for DBAStar pathfinding: 6130452
Time taken for AStar pathfinding: 13840449
Time taken for DBAStar pathfinding: 6165019
Time taken for AStar pathfinding: 13852421
Time taken for DBAStar pathfinding: 6130280
Time taken for AStar pathfinding: 13760627
Time taken for DBAStar pathfinding: 6111612
Time taken for AStar pathfinding: 13714521
Time taken for DBAStar pathfinding: 6119673
Time taken for AStar pathfinding: 13769107
Time taken for DBAStar pathfinding: 6121561
Time taken for AStar pathfinding: 13836537
Time taken for DBAStar pathfinding: 5960150
Time taken for AStar pathfinding: 13566748
Time taken for DBAStar pathfinding: 5941284
